gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,avg_monthly_spend,tenure_group_7-12mo,tenure_group_13-24mo,tenure_group_25-48mo,tenure_group_49-72mo,actual_churn,predicted_proba,segment
1,0,1,1,72,1,1,114.05,8468.2,True,False,False,True,True,False,False,True,True,True,True,True,True,True,117.6138888888889,False,False,False,True,0,0.10923787,2
0,1,0,0,8,1,1,100.15,908.55,True,False,False,False,True,False,False,True,False,False,False,True,True,True,113.56875,True,False,False,False,0,0.78717136,1
0,0,1,1,41,1,1,78.35,3211.2,False,False,True,False,True,False,False,True,True,True,True,False,True,False,78.32195121951219,False,False,True,False,0,0.1477294,1
1,0,1,0,18,1,0,78.2,1468.75,True,False,False,False,False,True,False,False,False,False,True,True,False,False,81.59722222222223,False,True,False,False,0,0.60510576,1
0,0,1,0,72,1,1,82.65,5919.35,False,False,False,True,True,False,False,True,True,True,True,False,True,True,82.21319444444445,False,False,False,True,0,0.09463267,2
0,0,0,0,21,1,1,99.85,1992.55,True,False,False,False,True,False,False,True,False,True,False,False,True,True,94.88333333333333,False,True,False,False,0,0.6564188,1
0,0,0,0,21,1,1,99.15,1956.4,True,False,False,False,False,False,False,False,False,True,False,True,True,True,93.16190476190476,False,True,False,False,0,0.5558762,1
1,0,0,1,19,1,1,24.1,439.2,False,True,False,False,True,False,False,True,False,False,False,False,False,False,23.11578947368421,False,True,False,False,0,0.19313265,3
0,0,1,1,61,1,0,19.75,1311.6,False,True,False,True,True,False,False,False,False,False,False,False,False,False,21.501639344262294,False,False,False,True,0,0.08666176,0
1,1,0,0,17,1,1,45.05,770.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,45.32941176470588,False,True,False,False,1,0.50083715,3
1,0,1,1,70,1,1,106.05,7554.05,True,False,False,False,False,True,False,True,True,True,False,False,True,True,107.915,False,False,False,True,0,0.28600153,2
0,1,1,0,72,1,1,114.85,8317.95,True,False,False,True,False,False,False,True,True,True,True,True,True,True,115.52708333333334,False,False,False,True,0,0.1255337,2
1,0,0,0,49,0,1,30.2,1453.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,29.655102040816324,False,False,False,True,0,0.22994225,0
0,1,0,0,11,1,1,84.8,906.85,True,False,False,False,True,False,False,True,False,False,False,False,False,True,82.44090909090909,True,False,False,False,1,0.721793,1
